8.9046 	EXP 	Device response: <KeyPress from None: t=8.90221118927002, value=right, duration=None>
8.9046 	EXP 	CODE: 30 TRIGGER: (RESPONSE_INCORRECT) TIMESTAMP: 11.949777
8.9047 	EXP 	CODE: 40 TRIGGER: (ITI_ONSET) TIMESTAMP: 11.949809
8.9048 	DATA 	Keypress: right
8.9087 	EXP 	fixation: autoDraw = False
8.9087 	EXP 	boxLeft: autoDraw = False
8.9087 	EXP 	boxRight: autoDraw = False
8.9087 	EXP 	cue: autoDraw = False
8.9087 	EXP 	target: autoDraw = False
8.9087 	EXP 	blank: autoDraw = True
9.0008 	EXP 	Device response: <KeyPress from None: t=8.90221118927002, value=right, duration=0.09698677062988281>
9.7257 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'cueType': 'exogenous', 'validity': 'valid', 'cueSide': 'left', 'targetSide': 'left', 'cueFile': 'posner/cue_box.png', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
9.7266 	EXP 	CODE: 0 TRIGGER: (FIX_ONSET) TIMESTAMP: 12.771715
9.7298 	EXP 	blank: autoDraw = False
9.7298 	EXP 	blank: autoDraw = False
9.7298 	EXP 	cue: image = 'posner/cue_box.png'
9.7298 	EXP 	target: image = 'posner/target_dot.png'
9.7298 	EXP 	fixation: autoDraw = True
9.7298 	EXP 	boxLeft: autoDraw = True
9.7298 	EXP 	boxRight: autoDraw = True
10.2133 	EXP 	cue: autoDraw = True
10.2259 	EXP 	CODE: 11 TRIGGER: (CUE_LEFT) TIMESTAMP: 13.270983
10.3008 	EXP 	cue: autoDraw = False
10.8636 	INFO 	Keyboard events cleared
10.8636 	EXP 	target: autoDraw = True
10.8803 	EXP 	CODE: 21 TRIGGER: (TARGET_LEFT) TIMESTAMP: 13.925380
11.1471 	EXP 	Device response: <KeyPress from None: t=11.143505334854126, value=left, duration=None>
11.1471 	EXP 	CODE: 31 TRIGGER: (RESPONSE_CORRECT) TIMESTAMP: 14.192266
